22.98,125.94,332
0.00,130.32,134.74,332
0.00,130.51,134.54,332
0.00,130.10,133.58,332
0.00,130.34,133.96,332
0.00,131.60,135.60,332
0.00,132.79,137.33,332
0.00,133.66,137.78,332
0.00,133.75,137.30,332
0.00,133.82,137.49,332
0.00,134.14,138.17,332
0.00,135.18,139.74,332
0.00,135.94,139.81,332
0.00,135.15,138.78,332
0.00,135.11,138.57,332
0.00,134.81,138.42,332
0.00,135.13,138.84,332
0.00,136.18,139.70,332
0.00,136.67,140.32,332
0.00,137.57,141.85,332
0.00,139.31,144.32,332
0.00,141.11,146.40,332
0.00,142.16,146.56,332
0.00,142.39,146.95,332
0.00,142.82,147.77,332
0.00,143.41,148.38,332
0.00,143.84,148.27,332
0.00,144.42,148.20,332
0.00,144.04,147.61,332
0.00,142.95,146.09,332
0.00,141.07,143.64,332
0.00,138.62,140.49,332
0.00,136.83,138.20,332
0.00,135.80,137.60,332
0.00,134.77,136.63,332
0.00,132.94,134.03,332
0.00,129.99,130.51,332
0.00,127.83,128.48,332
0.00,127.06,128.62,332
0.00,126.51,128.45,332
0.00,125.83,127.79,332
0.00,124.52,126.23,332
0.00,122.49,124.00,332
0.00,121.28,123.19,332
0.00,121.20,123.68,332
0.00,120.88,123.23,332
0.00,120.64,122.90,332
0.00,119.93,121.57,332
0.00,118.87,120.34,332
0.00,118.63,120.25,332
0.00,118.46,120.18,332
0.00,118.07,119.59,332
0.00,116.97,118.08,332
0.00,116.44,118.06,332
0.00,116.32,118.58,332
0.00,116.50,118.97,332
0.00,116.91,119.52,332
0.00,117.20,120.73,332
0.00,117.96,122.15,332
0.00,118.51,122.65,332
0.00,118.10,121.39,332
0.00,116.99,119.67,332
0.00,116.18,118.68,332
0.00,115.59,117.95,332
0.00,115.43,118.51,332
0.00,116.67,119.99,332
0.00,118.65,122.69,332
0.00,120.63,124.94,332
0.00,121.54,125.50,332
0.00,121.94,125.36,332
0.00,122.22,126.07,332
0.00,122.43,125.78,332
0.00,122.32,125.57,332
0.00,121.96,125.42,332
0.00,121.43,124.76,332
0.00,119.69,122.94,332
0.00,119.24,122.41,332
0.00,119.98,123.38,332
0.00,120.53,123.55,332
0.00,120.39,123.67,332
0.00,121.09,124.57,332
0.00,121.88,125.77,332
0.00,122.99,126.91,332
0.00,123.80,128.29,332
0.00,124.94,129.29,332
0.00,125.22,128.94,332
0.00,124.62,127.61,332
0.00,123.37,125.82,332
0.00,122.46,125.06,332
0.00,123.15,126.39,332
0.00,123.92,127.10,332
0.00,124.48,127.88,332
0.00,124.35,127.37,332
0.00,124.80,127.81,332
0.00,125.39,128.94,332
0.00,125.56,129.23,332
0.00,125.14,127.82,332
0.00,125.10,127.87,332
0.00,124.26,126.82,332
0.00,122.84,124.98,332
0.00,122.34,124.98,332
0.00,122.79,126.88,332
0.00,124.47,129.34,332
0.00,125.96,130.33,332
0.00,126.51,130.78,332
0.00,125.83,129.22,332
0.00,125.34,128.35,332
0.00,124.17,126.63,332
0.00,123.04,125.11,332
0.00,121.95,123.73,332
0.00,121.42,123.53,332
0.00,122.12,125.28,332
0.00,123.71,127.64,332
0.00,125.14,129.09,332
0.00,125.91,129.33,332
0.00,125.39,128.43,332
0.00,124.48,126.96,332
0.00,123.54,126.16,332
0.00,123.39,126.12,332
0.00,123.83,126.90,332
0.00,124.14,126.93,332
0.00,124.10,127.22,332
0.00,124.08,127.43,332
0.00,125.14,128.66,332
0.00,125.64,129.02,332
0.00,124.93,128.48,332
0.00,124.95,128.35,332
0.00,125.50,129.33,332
0.00,126.18,129.51,332
0.00,126.40,129.65,332
0.00,126.83,130.55,332
0.00,127.15,131.48,332
0.00,127.92,131.62,332
0.00,127.94,131.18,332
0.00,128.50,131.95,332
0.00,129.71,134.12,332
0.00,131.14,135.98,332
0.00,131.64,135.44,332
0.00,131.20,134.51,332
0.00,130.07,132.48,332
0.00,128.97,131.27,332
0.00,128.98,131.74,332
0.00,129.52,132.62,332
0.00,130.19,133.26,332
0.00,130.14,132.92,332
0.00,130.64,133.75,332
0.00,131.82,135.44,332
0.00,132.14,135.32,332
0.00,131.83,134.96,332
0.00,131.34,134.43,332
0.00,131.52,134.86,332
